Controlador de execução do SIMAN.

0.0010684802 Horas>
                                      ARENA Simulation Results
                                     Matheus - License: STUDENT

                                  Sumário para Replicação 1 de 1

Projeto: Unnamed Project                                             Data da execução :11/24/2018
Analista: Bernardelli                                                 Data de revisão do modelo:11/24/2018

Replicação terminada no tempo de      : 0.0010684802 Horas 
Unidade de Tempo Base: Horas

                                           VARIÁVEIS DE REGISTRO

Identificador                                  Média   Meia Largura  Mínimo    Máximo   Observações
___________________________________________________________________________________________________

CPU 20.VATimePerEntity                      2.2205E-08 1.0821E-10 1.3224E-08 3.2766E-08   3092    
CPU 19.VATimePerEntity                      2.2224E-08 1.1479E-10 1.2562E-08 3.4658E-08   3205    
CPU 18.VATimePerEntity                      2.2199E-08 1.0934E-10 1.1700E-08 3.1062E-08   3273    
CPU 17.VATimePerEntity                      2.2297E-08 1.0432E-10 1.1848E-08 3.2382E-08   3134    
CPU 16.VATimePerEntity                      2.2222E-08 1.3266E-10 1.2342E-08 3.2241E-08   3209    
CPU 15.VATimePerEntity                      2.2212E-08 8.0233E-11 1.0130E-08 3.2361E-08   3315    
CPU 14.VATimePerEntity                      2.2187E-08 9.8770E-11 1.0981E-08 3.2380E-08   3153    
CPU 13.VATimePerEntity                      2.2250E-08 9.5460E-11 1.3447E-08 3.2297E-08   3148    
CPU 12.VATimePerEntity                      2.2260E-08 1.0447E-10 1.2963E-08 3.2086E-08   3339    
CPU 11.VATimePerEntity                      2.2214E-08 1.0925E-10 1.3883E-08 3.2866E-08   3113    
CPU 10.VATimePerEntity                      2.2284E-08 9.9726E-11 1.2519E-08 3.0868E-08   3164    
CPU 9.WaitCostPerEntity                         --         --         --         --          0
CPU 8.WaitCostPerEntity                         --         --         --         --          0
CPU 7.WaitCostPerEntity                         --         --         --         --          0
CPU 6.WaitCostPerEntity                         --         --         --         --          0
CPU 5.WaitCostPerEntity                         --         --         --         --          0
CPU 4.WaitCostPerEntity                         --         --         --         --          0
CPU 3.WaitCostPerEntity                         --         --         --         --          0
CPU 2.WaitCostPerEntity                         --         --         --         --          0
CPU 1.WaitCostPerEntity                         --         --         --         --          0
CPU 21.TotalCostPerEntity                   .00000     .00000     .00000     .00000       3319    
CPU 20.TotalCostPerEntity                   .00000     .00000     .00000     .00000       3092    
CPU 19.TotalCostPerEntity                   .00000     .00000     .00000     .00000       3205    
CPU 18.TotalCostPerEntity                   .00000     .00000     .00000     .00000       3273    
CPU 17.TotalCostPerEntity                   .00000     .00000     .00000     .00000       3134    
CPU 16.TotalCostPerEntity                   .00000     .00000     .00000     .00000       3209    
CPU 15.TotalCostPerEntity                   .00000     .00000     .00000     .00000       3315    
CPU 14.TotalCostPerEntity                   .00000     .00000     .00000     .00000       3153    
CPU 13.TotalCostPerEntity                   .00000     .00000     .00000     .00000       3148    
CPU 12.TotalCostPerEntity                   .00000     .00000     .00000     .00000       3339    
CPU 11.TotalCostPerEntity                   .00000     .00000     .00000     .00000       3113    
CPU 10.TotalCostPerEntity                   .00000     .00000     .00000     .00000       3164    
Fluxos de Dados.VATime                      8.8934E-08 1.2099E-10 6.8552E-08 1.1352E-07   9616    
Fluxos de Dados.NVATime                     .00000     .00000     .00000     .00000       9616    
Fluxos de Dados.WaitTime                    1.7166E-08 (Corr)     .00000     1.7212E-07   9616    
Fluxos de Dados.TranTime                    .00000     .00000     .00000     .00000       9616    
Fluxos de Dados.OtherTime                   .00000     .00000     .00000     .00000       9616    
Fluxos de Dados.TotalTime                   1.0610E-07 (Corr)     6.8600E-08 2.6293E-07   9616    
Fluxos de Dados.VACost                      .00000     .00000     .00000     .00000       9616    
Fluxos de Dados.NVACost                     .00000     .00000     .00000     .00000       9616    
Fluxos de Dados.WaitCost                    .00000     .00000     .00000     .00000       9616    
Fluxos de Dados.TranCost                    .00000     .00000     .00000     .00000       9616    
Fluxos de Dados.OtherCost                   .00000     .00000     .00000     .00000       9616    
Fluxos de Dados.TotalCost                   .00000     .00000     .00000     .00000       9616    
CPU 21.Queue.WaitingTime                    7.9914E-10 (Corr)     .00000     1.7696E-08   3319    
CPU 21.Queue.WaitingCost                    .00000     .00000     .00000     .00000       3319    
CPU 20.Queue.WaitingTime                    7.9603E-10 7.9375E-11 .00000     1.3603E-08   3092    
CPU 20.Queue.WaitingCost                    .00000     .00000     .00000     .00000       3092    
CPU 2.Queue.WaitingTime                         --         --         --         --          0
CPU 2.Queue.WaitingCost                         --         --         --         --          0
CPU 4.Queue.WaitingTime                         --         --         --         --          0
CPU 4.Queue.WaitingCost                         --         --         --         --          0
CPU 7.Queue.WaitingTime                         --         --         --         --          0
CPU 7.Queue.WaitingCost                         --         --         --         --          0
CPU 9.Queue.WaitingTime                         --         --         --         --          0
CPU 9.Queue.WaitingCost                         --         --         --         --          0
CPU 19.Queue.WaitingTime                    8.2336E-10 (Corr)     .00000     1.5075E-08   3205    
CPU 19.Queue.WaitingCost                    .00000     .00000     .00000     .00000       3205    
CPU 18.Queue.WaitingTime                    1.2294E-09 (Corr)     .00000     2.4374E-08   3273    
CPU 18.Queue.WaitingCost                    .00000     .00000     .00000     .00000       3273    
CPU 17.Queue.WaitingTime                    1.0937E-09 (Corr)     .00000     2.4472E-08   3134    
CPU 17.Queue.WaitingCost                    .00000     .00000     .00000     .00000       3134    
CPU 16.Queue.WaitingTime                    1.1907E-09 (Corr)     .00000     2.0813E-08   3209    
CPU 16.Queue.WaitingCost                    .00000     .00000     .00000     .00000       3209    
CPU 15.Queue.WaitingTime                    1.4606E-08 (Corr)     .00000     1.6427E-07   3315    
CPU 15.Queue.WaitingCost                    .00000     .00000     .00000     .00000       3315    
CPU 14.Queue.WaitingTime                    1.4441E-08 (Corr)     .00000     1.2246E-07   3154    
CPU 14.Queue.WaitingCost                    .00000     .00000     .00000     .00000       3154    
CPU 13.Queue.WaitingTime                    1.4532E-08 (Corr)     .00000     1.2787E-07   3148    
CPU 13.Queue.WaitingCost                    .00000     .00000     .00000     .00000       3148    
CPU 12.Queue.WaitingTime                    6.2085E-10 (Corr)     .00000     1.5657E-08   3339    
CPU 12.Queue.WaitingCost                    .00000     .00000     .00000     .00000       3339    
CPU 11.Queue.WaitingTime                    6.5421E-10 1.2251E-10 .00000     1.8980E-08   3113    
CPU 11.Queue.WaitingCost                    .00000     .00000     .00000     .00000       3113    
CPU 10.Queue.WaitingTime                    7.0242E-10 (Corr)     .00000     2.4664E-08   3164    
CPU 10.Queue.WaitingCost                    .00000     .00000     .00000     .00000       3164    
